YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,431,N508JB,LGA,SRQ,1330,1406,36,13,1419,191,174,157,1047,1656,4,1641,1700,19,0,0,,0,0,16,3,0
2015,1,1,4,OO,4973,N718SK,ORD,GRR,1330,1333,3,30,1403,50,65,30,137,1533,5,1520,1538,18,0,0,,15,0,3,0,0
2015,1,1,4,UA,1424,N38458,SAN,SFO,1331,1409,38,11,1420,93,82,64,447,1524,7,1504,1531,27,0,0,,0,0,0,27,0
2015,1,1,4,UA,1643,N64809,GEG,DEN,1332,1431,59,18,1449,129,141,114,836,1743,9,1641,1752,71,0,0,,12,0,3,56,0
2015,1,1,4,HA,152,N492HA,OGG,ITO,1332,1340,8,16,1356,37,44,24,121,1420,4,1409,1424,15,0,0,,0,0,7,8,0
2015,1,1,4,OO,4965,N767SK,SUN,DEN,1332,1447,75,27,1514,101,112,79,557,1633,6,1513,1639,86,0,0,,11,0,0,75,0
2015,1,1,4,OO,6324,N745SK,PSC,DEN,1332,1339,7,13,1352,126,137,115,852,1647,9,1638,1656,18,0,0,,11,0,0,7,0
2015,1,1,4,OO,6298,N593ML,MOT,DEN,1333,1352,19,25,1417,122,126,92,604,1449,9,1435,1458,23,0,0,,4,0,0,19,0
2015,1,1,4,EV,4512,N18557,ORD,HPN,1334,1410,36,12,1422,126,109,93,738,1655,4,1640,1659,19,0,0,,19,0,0,0,0
2015,1,1,4,OO,5577,N728SK,BZN,IAH,1334,1442,68,12,1454,190,197,176,1385,1850,9,1744,1859,75,0,0,,7,0,1,67,0
2015,1,1,4,WN,1391,N8612K,BUF,MCO,1335,1550,135,10,1600,165,155,139,1011,1819,6,1620,1825,125,0,0,,0,0,0,0,125
2015,1,1,4,WN,3306,N763SW,BUR,SJC,1335,1410,35,8,1418,65,59,48,296,1506,3,1440,1509,29,0,0,,0,0,0,29,0
2015,1,1,4,WN,3300,N299WN,DAL,STL,1335,1411,36,7,1418,90,80,68,546,1526,5,1505,1531,26,0,0,,0,0,18,8,0
2015,1,1,4,WN,3147,N412WN,SAN,SFO,1335,1353,18,12,1405,90,88,70,447,1515,6,1505,1521,16,0,0,,0,0,8,8,0
2015,1,1,4,US,437,N585UW,SLC,PHX,1335,1419,44,20,1439,92,96,71,507,1550,5,1507,1555,48,0,0,,4,0,31,13,0
2015,1,1,4,AA,1105,N3JPAA,DFW,EWR,1335,1408,33,13,1421,190,175,153,1372,1754,9,1745,1803,18,0,0,,0,0,0,15,3
2015,1,1,4,MQ,2863,N632MQ,ORD,DTW,1335,1331,-4,20,1351,73,100,43,235,1534,37,1548,1611,23,0,0,,23,0,0,0,0
2015,1,1,4,MQ,2765,N900MQ,DFW,DRO,1335,1403,28,16,1419,123,123,104,674,1503,3,1438,1506,28,0,0,,0,0,28,0,0
2015,1,1,4,MQ,3339,N524MQ,ORD,SYR,1335,1353,18,24,1417,98,95,69,607,1626,2,1613,1628,15,0,0,,0,0,15,0,0
2015,1,1,4,MQ,3423,N612MQ,ORD,ALO,1335,1447,72,8,1455,63,54,44,234,1539,2,1438,1541,63,0,0,,0,0,63,0,0
2015,1,1,4,OO,6216,N719SK,DEN,SAT,1335,1405,30,24,1429,129,142,114,794,1723,4,1644,1727,43,0,0,,13,0,11,19,0
2015,1,1,4,OO,6608,N896SK,PHX,MCI,1335,1423,48,13,1436,151,135,114,1044,1730,8,1706,1738,32,0,0,,0,0,32,0,0
2015,1,1,4,UA,814,N809UA,DEN,IAH,1337,1357,20,12,1409,136,143,122,862,1711,9,1653,1720,27,0,0,,7,0,20,0,0
2015,1,1,4,OO,5211,N960SW,IDA,DEN,1338,1416,38,7,1423,91,86,67,458,1530,12,1509,1542,33,0,0,,0,0,18,15,0
2015,1,1,4,OO,5404,N973SW,STC,ORD,1338,1444,66,12,1456,86,79,56,394,1552,11,1504,1603,59,0,0,,0,0,0,59,0
2015,1,1,4,OO,4626,N805SK,OKC,SLC,1339,1418,39,11,1429,155,136,114,866,1523,11,1514,1534,20,0,0,,0,0,11,9,0
2015,1,1,4,US,686,N195UW,PHL,PHX,1340,1341,1,13,1354,319,340,323,2075,1717,4,1659,1721,22,0,0,,21,1,0,0,0
2015,1,1,4,WN,1111,N736SA,LAS,AUS,1340,1352,12,20,1412,160,164,140,1090,1832,4,1820,1836,16,0,0,,4,0,7,5,0
2015,1,1,4,WN,2521,N279WN,SAN,ATL,1340,1423,43,11,1434,240,237,217,1892,2111,9,2040,2120,40,0,0,,0,0,27,13,0
